date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:51	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Sep%202022%2019:26:51%20GMT	https://themedemos.download/robots.txt		(from )
00:56:51	19011/19011	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Jul%202019%2018:25:34%20GMT	https://themedemos.download/vlack/vlaca/	E:/Web/vlaka/themedemos.download/vlack/vlaca/index.html	(from )
00:56:52	1102/1102	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jul%202019%2018:25:57%20GMT	https://themedemos.download/vlack/vlaca/assets/images/favi.png	E:/Web/vlaka/themedemos.download/vlack/vlaca/assets/images/favi.png	(from https://themedemos.download/vlack/vlaca/)
00:56:53	37414/37414	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202019%2018:25:46%20GMT	https://themedemos.download/vlack/vlaca/assets/fonts/font-awesome.css	E:/Web/vlaka/themedemos.download/vlack/vlaca/assets/fonts/font-awesome.css	(from https://themedemos.download/vlack/vlaca/)
00:56:54	1478/1478	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202019%2018:26:39%20GMT	https://themedemos.download/vlack/vlaca/assets/owlcarousel/css/owl.carousel.css	E:/Web/vlaka/themedemos.download/vlack/vlaca/assets/owlcarousel/css/owl.carousel.css	(from https://themedemos.download/vlack/vlaca/)
00:56:55	121260/121260	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202019%2018:26:22%20GMT	https://themedemos.download/vlack/vlaca/assets/bootstrap/css/bootstrap.min.css	E:/Web/vlaka/themedemos.download/vlack/vlaca/assets/bootstrap/css/bootstrap.min.css	(from https://themedemos.download/vlack/vlaca/)
00:56:55	1662/1662	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202019%2018:26:39%20GMT	https://themedemos.download/vlack/vlaca/assets/owlcarousel/css/owl.theme.css	E:/Web/vlaka/themedemos.download/vlack/vlaca/assets/owlcarousel/css/owl.theme.css	(from https://themedemos.download/vlack/vlaca/)
00:56:55	32153/32153	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202019%2018:25:39%20GMT	https://themedemos.download/vlack/vlaca/assets/css/effect.css	E:/Web/vlaka/themedemos.download/vlack/vlaca/assets/css/effect.css	(from https://themedemos.download/vlack/vlaca/)
00:56:56	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202019%2018:25:40%20GMT	https://themedemos.download/vlack/vlaca/assets/css/magnific-popup.css	E:/Web/vlaka/themedemos.download/vlack/vlaca/assets/css/magnific-popup.css	(from https://themedemos.download/vlack/vlaca/)
00:56:56	54877/54877	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Jul%202019%2018:25:39%20GMT	https://themedemos.download/vlack/vlaca/assets/css/animate.min.css	E:/Web/vlaka/themedemos.download/vlack/vlaca/assets/css/animate.min.css	(from https://themedemos.download/vlack/vlaca/)
